encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,best_candidate_confidence_set_recall_mean,top3_candidate_recall_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,validation_regret_mean,normalized_validation_regret_mean,removed_fraction,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal,best_candidate_recall_tol_0_mean,best_candidate_recall_tol_0p001_mean,best_candidate_recall_tol_0p002_mean,best_candidate_recall_tol_0p005_mean
clip_b32,agglomerative_subspace,3,7,7,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.010806999296862558,0.39235949075900095,0.8571428571428572,3.0,0.8235294117647057,False,0.0,0.0,0.0,0.14285714285714285
clip_b32,agglomerative_subspace,5,7,7,0.14285714285714285,0.2857142857142857,0.09523809523809523,0.7142857142857143,0.45238095238095244,0.0075782760046086495,0.2573891618181285,0.7619047619047619,5.0,0.7058823529411765,False,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855
clip_b32,agglomerative_subspace,10,7,7,0.2857142857142857,0.42857142857142855,0.19047619047619047,0.8571428571428571,0.5476190476190477,0.006680201110657179,0.20173181638861795,0.5238095238095238,10.0,0.41176470588235287,False,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855
clip_b32,dpp_subspace,3,7,7,0.2857142857142857,1.0,0.47619047619047616,0.2857142857142857,0.49999999999999994,0.0020967738763278637,0.08272738046741422,0.8571428571428572,3.0,0.8235294117647057,False,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.8571428571428571
clip_b32,dpp_subspace,5,7,7,0.7142857142857143,1.0,0.7619047619047619,0.7142857142857143,0.7857142857142857,0.00046909175585739337,0.03331125366291129,0.7619047619047619,5.0,0.7058823529411765,False,0.7142857142857143,0.8571428571428571,0.8571428571428571,1.0
clip_b32,dpp_subspace,10,7,7,0.8571428571428571,1.0,0.8571428571428571,1.0,0.9523809523809523,3.619123731340197e-05,0.0016400858119621964,0.5238095238095238,9.0,0.4705882352941177,False,0.8571428571428571,1.0,1.0,1.0
clip_b32,exact_merged_rank_greedy,3,7,7,0.2857142857142857,1.0,0.47619047619047616,0.2857142857142857,0.49999999999999994,0.0020967738763278637,0.08272738046741422,0.8571428571428572,3.0,0.8235294117647057,False,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.8571428571428571
clip_b32,exact_merged_rank_greedy,5,7,7,0.7142857142857143,1.0,0.7619047619047619,0.7142857142857143,0.7857142857142857,0.00046909175585739337,0.03331125366291129,0.7619047619047619,4.0,0.7647058823529411,False,0.7142857142857143,0.8571428571428571,0.8571428571428571,1.0
clip_b32,exact_merged_rank_greedy,10,7,7,0.8571428571428571,1.0,0.8571428571428571,1.0,0.9523809523809523,3.619123731340197e-05,0.0016400858119621964,0.5238095238095238,9.0,0.4705882352941177,False,0.8571428571428571,1.0,1.0,1.0
clip_b32,facility_subspace,3,7,7,0.14285714285714285,0.2857142857142857,0.09523809523809523,0.7142857142857143,0.45238095238095244,0.00821360923703415,0.2676599477634163,0.8571428571428572,3.0,0.8235294117647057,False,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855
clip_b32,facility_subspace,5,7,7,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.8571428571428571,0.5,0.007389819383892683,0.21444511758631693,0.7619047619047619,5.0,0.7058823529411765,False,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855
clip_b32,facility_subspace,10,7,7,0.2857142857142857,0.5714285714285714,0.3333333333333333,0.8571428571428571,0.6904761904761905,0.005775053888153359,0.17700846445474902,0.5238095238095238,10.0,0.41176470588235287,False,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5714285714285714
clip_b32,kcenter_subspace,3,7,7,0.14285714285714285,0.42857142857142855,0.23809523809523808,0.14285714285714285,0.23809523809523808,0.0067060625515706586,0.2320218537872932,0.8571428571428572,3.0,0.8235294117647057,False,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855
clip_b32,kcenter_subspace,5,7,7,0.2857142857142857,0.5714285714285714,0.3333333333333333,0.42857142857142855,0.40476190476190477,0.005756853560043106,0.1933558270767223,0.7619047619047619,5.0,0.7058823529411765,False,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5714285714285714
clip_b32,kcenter_subspace,10,7,7,0.7142857142857143,1.0,0.619047619047619,0.8571428571428571,0.6904761904761905,0.0007419177907665839,0.043867510253073165,0.5238095238095238,10.0,0.41176470588235287,False,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0
clip_b32,leverage_centroid,3,7,7,0.2857142857142857,1.0,0.38095238095238093,0.2857142857142857,0.40476190476190477,0.0018572968780541377,0.06520715149130159,0.8571428571428572,3.0,0.8235294117647057,False,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.8571428571428571
clip_b32,leverage_centroid,5,7,7,0.2857142857142857,1.0,0.38095238095238093,0.2857142857142857,0.40476190476190477,0.0018572968780541377,0.06520715149130159,0.7619047619047619,5.0,0.7058823529411765,False,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.8571428571428571
clip_b32,leverage_centroid,10,7,7,0.5714285714285714,1.0,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.0013605735288334847,0.029874359867797552,0.5238095238095238,9.0,0.4705882352941177,False,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.8571428571428571
clip_b32,pool_vendi_subspace,3,7,7,0.14285714285714285,0.42857142857142855,0.23809523809523808,0.14285714285714285,0.23809523809523808,0.0067060625515706586,0.2320218537872932,0.8571428571428572,3.0,0.8235294117647057,False,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855
