sample_index,sample_id,domain,official_split,role,class_name,class_id,archive_filename,archive_member,relative_path,content_sha256,byte_size
0,ff647e4dfb62c262417c3dd2277dc6091082fa39cb0cb19c86b18b9ab49afdfa,clipart,train,target_selection,broom,12,clipart.cleaned.zip,clipart/broom/clipart_045_000113.jpg,clipart/train/broom/clipart_045_000113.jpg,5afa2e01b4e7bfba15c450677386fe5788e71c839fd87e2537f435fb2ab3ac97,31306
1,d67308c88474bd17b545f446f791979c2ebddb9593cb2055ea3308caeb0d9168,clipart,train,target_selection,dragon,21,clipart.cleaned.zip,clipart/dragon/clipart_096_000060.jpg,clipart/train/dragon/clipart_096_000060.jpg,35d5b08786d88f105daf0e5c8e5c357cbd52b4018e162634e3f29a60b4a95c5d,34603
2,ed87c4c087d5033593cfbea82927608c91ee679a3d9c06bfee475f3326077346,clipart,train,target_selection,paper_clip,58,clipart.cleaned.zip,clipart/paper_clip/clipart_211_000009.jpg,clipart/train/paper_clip/clipart_211_000009.jpg,80669ee0aaf53e893d1419e623a97bfb844585ed4f8f415f6ed0784a812fbddf,36719
3,b2706ca2a62c396afe6522ce2586731626348626fcfe4d5d67ec264e0afffdc1,clipart,train,target_selection,see_saw,72,clipart.cleaned.zip,clipart/see_saw/clipart_257_000129.jpg,clipart/train/see_saw/clipart_257_000129.jpg,03db246c82a100603d74874d9c3a2cd9c4073bd37ca3ee245622006105cc13d4,16698
4,dd24457a9d116a74ac7b69d14a97df583b3e224a889e0b11d93044fc29d08a6d,clipart,train,target_selection,camel,15,clipart.cleaned.zip,clipart/camel/clipart_055_000002.jpg,clipart/train/camel/clipart_055_000002.jpg,2c11c1e7afa9091a78ef26222054813740e92e9e44900235a60e0e54ea3c20b9,30591
5,d6f44edc48f50586a8d9d8e0eff126495386bde4c863012dc203e0a93411fe6e,clipart,train,target_selection,wine_bottle,96,clipart.cleaned.zip,clipart/wine_bottle/clipart_340_000165.jpg,clipart/train/wine_bottle/clipart_340_000165.jpg,64f3611407909919e724a1f8357a838489e85b38028d1e5d69db33f0de9bf8da,24440
6,1695276810252ad095b82963271d3520bfeb44513fbd737adda0cc3662c3ddfb,clipart,train,target_selection,panda,57,clipart.cleaned.zip,clipart/panda/clipart_209_000012.jpg,clipart/train/panda/clipart_209_000012.jpg,acf635891d04dc2ad97e07ab305d2c25d9b5ffea82786c93b64724de2a6ee23e,28732
7,8201907490ac572de0107c8bb7c0db8b5d3ed52fcade7b5028aa88ec5452a4f0,clipart,train,target_selection,bracelet,11,clipart.cleaned.zip,clipart/bracelet/clipart_040_000210.jpg,clipart/train/bracelet/clipart_040_000210.jpg,adfbaf7054bf2e525659a82f4f570d46e2b71855123f2f19257ffede799d3c6f,42374
8,0807ab836d572b9a1b6a72b79aa487cf743ee5bdb75f51169e3a967f362a1752,clipart,train,target_selection,toaster,85,clipart.cleaned.zip,clipart/toaster/clipart_313_000151.jpg,clipart/train/toaster/clipart_313_000151.jpg,c70fe6dbdc668c0d232560953e6e2d3882311fab03238ccb50882d9a49ee80dd,42228
9,2ad6a4fec39b04f9116cb814b80a96a442cd6106c5a56b92e35031e24327e398,clipart,train,target_selection,postcard,68,clipart.cleaned.zip,clipart/postcard/clipart_232_000041.jpg,clipart/train/postcard/clipart_232_000041.jpg,d1de6976a9fa5eb6706876691d0e6841fa6db4cb38ac186e2b86f9822db50747,46417
10,36641f7ecfdcf917a99db042c69aed80dbf9b205830d9b04ca1338e78fc07fd1,clipart,train,target_selection,headphones,34,clipart.cleaned.zip,clipart/headphones/clipart_141_000013.jpg,clipart/train/headphones/clipart_141_000013.jpg,2949aceb97b8414c3c55b9f3ffe16de8ef7a9304271dbb8f2a351fb5b2b2bc56,35303
