content_sha256,sample_id,domain,class_name,relative_path
00e04120eb87d7b1bda99e98779e360670ff4538335a43bb3149244fa0e89c04,d05bd00c7e5335f91da6e3c5d2e21646e03ac486761a598c02f6d37e64ec5962,Art,ToothBrush,Art/ToothBrush/00013.jpg
00e04120eb87d7b1bda99e98779e360670ff4538335a43bb3149244fa0e89c04,290a2b7bff50d09c365d6d624daa40d60bf22d4cebb306b9564a613fff6dfd8d,Art,ToothBrush,Art/ToothBrush/00040.jpg
015651ca28f336134c64a500f38312a48096990f0d10ba22b36284bc6470e6d1,43a257edbb1ae0f7700a1f748bc7c3bdaf6ea71649bf0bedd1539ee973302b04,Real World,Computer,Real World/Computer/00031.jpg
015651ca28f336134c64a500f38312a48096990f0d10ba22b36284bc6470e6d1,f1716de7d34152ea2b51291dabcf2cf0f355b6b8adb4715b562753063c1dd9fd,Real World,Keyboard,Real World/Keyboard/00034.jpg
01ba68d7d2c321c4d4df7d156f1fd92f7541f70ec21c6406947c6658526ca9fe,91302f26a26fb9263819971dcb4d9fda568c0e94c6965b16c59a4720e365ba40,Product,Flowers,Product/Flowers/00005.jpg
01ba68d7d2c321c4d4df7d156f1fd92f7541f70ec21c6406947c6658526ca9fe,a5365e35126dc4cca3226fb23afe44e759cae4816220470f4c60bce1dfe2c0ee,Product,Flowers,Product/Flowers/00077.jpg
02f5b31a24d7dc72fadd9f3748ad447847f8efa394b31ff0ea649dd0e139ad31,9d7f7a2ee3ba1a448e70a5de56f071616d5c548cabd74e1e0ac2f76b9f4401de,Real World,Computer,Real World/Computer/00017.jpg
02f5b31a24d7dc72fadd9f3748ad447847f8efa394b31ff0ea649dd0e139ad31,34725d6c258f0b1e51978303c4d3d0c6c56c2d7cef6c38b85735b19f94f4e738,Real World,Laptop,Real World/Laptop/00010.jpg
04691e08afab7b47dc27c9c230841f0133ba634b84f161a905e79d743e9f1185,06d23e01c9ccafec021f0aa0127d806c48569fd60d2db0abe6ffca21ae939613,Clipart,Mouse,Clipart/Mouse/00054.jpg
04691e08afab7b47dc27c9c230841f0133ba634b84f161a905e79d743e9f1185,4ec39ee7e83f9f13fdf11fcaf9319f78ef3ac3f7887cc8aa76c9f8be78049260,Clipart,Mouse,Clipart/Mouse/00076.jpg
058fab78c5408e4a4b011b1d9b77d01570c8cb57422829fcf75bb2123df1f6d8,483e736d066335193bab43628ea092a1e108a61c568f00d7f162ed0ffa5c301f,Product,Pan,Product/Pan/00051.jpg
058fab78c5408e4a4b011b1d9b77d01570c8cb57422829fcf75bb2123df1f6d8,e18a0e601d9e839d9386ab6fd64c621f4abc8ba53e9bb66378b02b2fb0b50153,Product,Pan,Product/Pan/00055.jpg
05de73474eac267a34378f7bf1a8d81791cf96bccb0db07fa7aee5b44fd6d6a5,aa0a720b857d2ece6f83955279a72c628cf492e4515a211c0c2ba5b0ae0a40a5,Product,Laptop,Product/Laptop/00006.jpg
05de73474eac267a34378f7bf1a8d81791cf96bccb0db07fa7aee5b44fd6d6a5,8b441c183ee41d491f53b4d48b9c8339ddb73ad2501f0655a70454bf9da5b24e,Product,Laptop,Product/Laptop/00071.jpg
06e433249c316dc5da6fe5150e8adbe982905a7da4ca99eb5f9977160dd8df93,88dbe968b3ec537db529d651b747e5ce4930cb95a346fc39f970e53cfb55880b,Product,Shelf,Product/Shelf/00026.jpg
06e433249c316dc5da6fe5150e8adbe982905a7da4ca99eb5f9977160dd8df93,03d06fd78b9cdaf0d09052eaf00143e163fd9f6634553ec4357d6cc15be004d7,Product,Shelf,Product/Shelf/00027.jpg
