sample_index,sample_id,domain,class_name,class_id,relative_path,content_sha256,byte_size
0,1147bdf7b81440f67cf84d90496360562b8a0507d4e9bdad50b68ac073ad82d5,Art,Alarm_Clock,0,Art/Alarm_Clock/00001.jpg,e50abfbdac1df4b7173cbdc3b87945a4936b98ffdb549844a35500f9e99d60ca,73727
1,7d18e11d652330e062adbe269e197d2d81787e51c8850a55c1c89d2070323b76,Art,Alarm_Clock,0,Art/Alarm_Clock/00002.jpg,a27b7858e61c006b7cc3123c01e612f92e36540079cc25c0345e125483450079,32834
2,1d38b6a49b1d833fc8b01d06a8ac6be5bbddcf08d391fe98cfd407674e9863ca,Art,Alarm_Clock,0,Art/Alarm_Clock/00003.jpg,fc89c6249fb874d8d2ef21f54ca672779e36979b9a6f66464bf217c3c92acfcd,79884
3,19291c9a2ea2d02454ea5fbeb45c44a9f61b7d132ff18339f9617481fab5e629,Art,Alarm_Clock,0,Art/Alarm_Clock/00004.jpg,eddf4409d1fe51511bf86c2ecd8324bf752930528ba5dcdd3f214754e4939e5c,51884
4,3f890cec98eb21dd0fdd425f212e332675c5ff8602c55e047fbcab8a4a30c52e,Art,Alarm_Clock,0,Art/Alarm_Clock/00005.jpg,1db760bd14c9dad7fec737d9bafae258dab5afc6b1951cd03daa101f8735325a,126091
5,85b6befc67cb78867c4a0f2c282b4d64f2f76194f83a3f2e1dfcab1ea8de84bf,Art,Alarm_Clock,0,Art/Alarm_Clock/00006.jpg,f3aca822e2f110023f3f3c8cf4e7ef3473d4ad83cddf0487fa7684bdf06a3762,111472
6,e1c7db1f15e71331f3854ab4e7349d753f87033b2c2c81c84affbf8d9ef94360,Art,Alarm_Clock,0,Art/Alarm_Clock/00007.jpg,f3aca822e2f110023f3f3c8cf4e7ef3473d4ad83cddf0487fa7684bdf06a3762,111472
7,481a49628cab3da4fe66a3dd145c12506ec95883eed9dd182101df1e41ba5d12,Art,Alarm_Clock,0,Art/Alarm_Clock/00008.jpg,e6bbd5212309d7676ee33c8836f20ab94813c1235eb27cc3ec390001c9bfc921,83679
8,84bffbc59dd42072760c0f6716fbf2de8857296f5371ce43867ba99330f86630,Art,Alarm_Clock,0,Art/Alarm_Clock/00009.jpg,0362b31ba079b34a5d09767076adda8d88bf7383125602958550e03698479c46,97259
9,194a9968cb51dc3d77cd670a8c4151b401c1f64ff6405083be4f180611b60b3f,Art,Alarm_Clock,0,Art/Alarm_Clock/00010.jpg,32249478d51d338b14592a5422bcedad7ea0418ebe62fa433af7b942f46c5573,78456
10,ba249dbdb04a2b96829dfaf0342d2e7b343f63f95532d3a9f0179077e261bf94,Art,Alarm_Clock,0,Art/Alarm_Clock/00011.jpg,3e0c034a5f837d683b8e059216e6b6176fe14f3ed13a4a575968cabfdaae5b03,78841
11,d2e14b75899f885970d4c08cb99428c28812a21551f9a13245f463d9ac99b3cf,Art,Alarm_Clock,0,Art/Alarm_Clock/00012.jpg,f831a132b64e908cc06ff46863ed013545a9d4664ff20bcf457a20cd34948c03,96923
12,e24a2d2a345243415e68c247e3d8b28100f55523f1e08f089c8e9ebcd5877a6f,Art,Alarm_Clock,0,Art/Alarm_Clock/00013.jpg,f831a132b64e908cc06ff46863ed013545a9d4664ff20bcf457a20cd34948c03,96923
13,760809802bcd16b25036737932764da01ec3f2b28752bdacc2c081f109da6bc2,Art,Alarm_Clock,0,Art/Alarm_Clock/00014.jpg,1f85a40d2f602566ef7cab6797cf97666b717801132ea97cb5a652b8591844aa,49600
14,67797839f8a2fcd4df9d1591da01751260a70026e4c0b4fd177da90a634de2a4,Art,Alarm_Clock,0,Art/Alarm_Clock/00015.jpg,13d4f2585460a7f0674c903996835d7933fb82bf7019acc04ee9fb09a5bda2e1,156124
15,303cfb577a411430042c12fd04ad5d4fb48cc9483b2265d983aa68c419606b9a,Art,Alarm_Clock,0,Art/Alarm_Clock/00016.jpg,13d4f2585460a7f0674c903996835d7933fb82bf7019acc04ee9fb09a5bda2e1,156124
