seed,dimension,candidate_count,budget,target_samples,method,selected,target_risk,oracle_risk,normalized_regret,combination_rank,in_top_q,top_q,certified_steps,certificate_rate,mean_selected_interval_width,sketch_bytes,full_gram_bytes,byte_ratio,uncertified_fallback_steps,mean_refinement_rounds,random_repeat
20260910,16,8,1,32,target_a_estimated,pool_00,0.23797148682537805,0.23797148682537805,0.0,1,1,8,,,,,,,,,
20260910,16,8,1,32,target_a_true_ct_diagnostic,pool_00,0.23797148682537805,0.23797148682537805,0.0,1,1,8,,,,,,,,,
20260910,16,8,1,32,isotropic_a,pool_01,0.28762813744758814,0.23797148682537805,0.2086663880813915,2,1,8,,,,,,,,,
20260910,16,8,1,32,bayesian_d,pool_06,2.258596539092096,0.23797148682537805,8.491038482057473,7,1,8,,,,,,,,,
20260910,16,8,1,32,effective_rank,pool_00,0.23797148682537805,0.23797148682537805,0.0,1,1,8,,,,,,,,,
20260910,16,8,1,32,trace,pool_06,2.258596539092096,0.23797148682537805,8.491038482057473,7,1,8,,,,,,,,,
20260910,16,8,1,32,oracle_exhaustive,pool_00,0.23797148682537805,0.23797148682537805,0.0,1,1,8,,,,,,,,,
20260910,16,8,1,32,target_a_sketch_l2,pool_01,0.28762813744758814,0.23797148682537805,0.2086663880813915,2,1,8,0,0.0,1.7840256635286507,2240,16384,0.13671875,,,
20260910,16,8,1,32,target_a_sketch_l4,pool_00,0.23797148682537805,0.23797148682537805,0.0,1,1,8,0,0.0,0.18978055520442222,4288,16384,0.26171875,,,
20260910,16,8,1,32,target_a_sketch_l8,pool_00,0.23797148682537805,0.23797148682537805,0.0,1,1,8,0,0.0,0.12489587892421503,8384,16384,0.51171875,,,
20260910,16,8,1,32,target_a_sketch_adaptive,pool_00,0.23797148682537805,0.23797148682537805,0.0,1,1,8,1,1.0,,7360,16384,0.44921875,0,3.0,
20260910,16,8,1,32,random,pool_06,2.258596539092096,0.23797148682537805,8.491038482057473,7,1,8,,,,,,,,,0
20260910,16,8,1,32,random,pool_06,2.258596539092096,0.23797148682537805,8.491038482057473,7,1,8,,,,,,,,,1
20260910,16,8,1,32,random,pool_06,2.258596539092096,0.23797148682537805,8.491038482057473,7,1,8,,,,,,,,,2
20260910,16,8,1,32,random,pool_05,1.821605235540157,0.23797148682537805,6.654720571111274,6,1,8,,,,,,,,,3
20260910,16,8,1,32,random,pool_03,1.0042608239872295,0.23797148682537805,3.2200888744463305,4,1,8,,,,,,,,,4
20260910,16,8,1,32,random,pool_00,0.23797148682537805,0.23797148682537805,0.0,1,1,8,,,,,,,,,5
20260910,16,8,1,32,random,pool_01,0.28762813744758814,0.23797148682537805,0.2086663880813915,2,1,8,,,,,,,,,6
20260910,16,8,1,32,random,pool_04,1.5298995569031388,0.23797148682537805,5.428919604245569,5,1,8,,,,,,,,,7
20260910,16,8,1,32,random,pool_02,0.5953715433495204,0.23797148682537805,1.5018608375817737,3,1,8,,,,,,,,,8
20260910,16,8,1,32,random,pool_03,1.0042608239872295,0.23797148682537805,3.2200888744463305,4,1,8,,,,,,,,,9
20260910,16,8,1,32,random,pool_04,1.5298995569031388,0.23797148682537805,5.428919604245569,5,1,8,,,,,,,,,10
20260910,16,8,1,32,random,pool_04,1.5298995569031388,0.23797148682537805,5.428919604245569,5,1,8,,,,,,,,,11
20260910,16,8,1,32,random,pool_05,1.821605235540157,0.23797148682537805,6.654720571111274,6,1,8,,,,,,,,,12
20260910,16,8,1,32,random,pool_05,1.821605235540157,0.23797148682537805,6.654720571111274,6,1,8,,,,,,,,,13
20260910,16,8,1,32,random,pool_00,0.23797148682537805,0.23797148682537805,0.0,1,1,8,,,,,,,,,14
20260910,16,8,1,32,random,pool_04,1.5298995569031388,0.23797148682537805,5.428919604245569,5,1,8,,,,,,,,,15
20260910,16,8,1,32,random,pool_00,0.23797148682537805,0.23797148682537805,0.0,1,1,8,,,,,,,,,16
20260910,16,8,1,32,random,pool_03,1.0042608239872295,0.23797148682537805,3.2200888744463305,4,1,8,,,,,,,,,17
20260910,16,8,1,32,random,pool_04,1.5298995569031388,0.23797148682537805,5.428919604245569,5,1,8,,,,,,,,,18
20260910,16,8,1,32,random,pool_06,2.258596539092096,0.23797148682537805,8.491038482057473,7,1,8,,,,,,,,,19
20260910,16,8,1,128,target_a_estimated,pool_00,0.2180103377447078,0.2180103377447078,0.0,1,1,8,,,,,,,,,
20260910,16,8,1,128,target_a_true_ct_diagnostic,pool_00,0.2180103377447078,0.2180103377447078,0.0,1,1,8,,,,,,,,,
20260910,16,8,1,128,isotropic_a,pool_03,0.9984080845216261,0.2180103377447078,3.579636428483367,4,1,8,,,,,,,,,
20260910,16,8,1,128,bayesian_d,pool_07,2.4638633485644927,0.2180103377447078,10.301589521179956,8,1,8,,,,,,,,,
20260910,16,8,1,128,effective_rank,pool_00,0.2180103377447078,0.2180103377447078,0.0,1,1,8,,,,,,,,,
20260910,16,8,1,128,trace,pool_05,1.969255712599391,0.2180103377447078,8.032854739693162,6,1,8,,,,,,,,,
20260910,16,8,1,128,oracle_exhaustive,pool_00,0.2180103377447078,0.2180103377447078,0.0,1,1,8,,,,,,,,,
20260910,16,8,1,128,target_a_sketch_l2,pool_01,0.33098333527918783,0.2180103377447078,0.5182001858406022,2,1,8,0,0.0,2.209046139316055,2240,16384,0.13671875,,,
20260910,16,8,1,128,target_a_sketch_l4,pool_00,0.2180103377447078,0.2180103377447078,0.0,1,1,8,0,0.0,0.19537852527116517,4288,16384,0.26171875,,,
