seed,dimension,candidate_count,budget,target_samples,shift,method,selected,target_mse,conditional_oracle_mse,normalized_regret,combination_rank
20260910,16,8,1,32,0.0,target_a_estimated,pool_00,0.010304924294621473,0.006155281038649221,0.6741598360686537,3
20260910,16,8,1,32,0.0,isotropic_a,pool_01,0.006155281038649221,0.006155281038649221,0.0,1
20260910,16,8,1,32,0.0,bayesian_d,pool_06,0.01530503396241651,0.006155281038649221,1.486488247460299,5
20260910,16,8,1,32,0.0,effective_rank,pool_00,0.010304924294621473,0.006155281038649221,0.6741598360686537,3
20260910,16,8,1,32,0.0,conditional_oracle,pool_01,0.006155281038649221,0.006155281038649221,0.0,1
20260910,16,8,1,32,0.5,target_a_estimated,pool_00,0.07840127645150308,0.03399527726895501,1.3062402412908185,6
20260910,16,8,1,32,0.5,isotropic_a,pool_01,0.038855547690527306,0.03399527726895501,0.14296898898985502,2
20260910,16,8,1,32,0.5,bayesian_d,pool_06,0.04136366473525261,0.03399527726895501,0.21674738546776093,4
20260910,16,8,1,32,0.5,effective_rank,pool_00,0.07840127645150308,0.03399527726895501,1.3062402412908185,6
20260910,16,8,1,32,0.5,conditional_oracle,pool_07,0.03399527726895501,0.03399527726895501,0.0,1
20260910,16,8,1,32,1.0,target_a_estimated,pool_00,0.26215543908555416,0.08907326970007595,1.9431437733034136,6
20260910,16,8,1,32,1.0,isotropic_a,pool_01,0.1531324572092043,0.08907326970007595,0.7191740880830573,5
20260910,16,8,1,32,1.0,bayesian_d,pool_06,0.08907326970007595,0.08907326970007595,0.0,1
20260910,16,8,1,32,1.0,effective_rank,pool_00,0.26215543908555416,0.08907326970007595,1.9431437733034136,6
20260910,16,8,1,32,1.0,conditional_oracle,pool_06,0.08907326970007595,0.08907326970007595,0.0,1
20260910,16,8,1,128,0.0,target_a_estimated,pool_00,0.003991364291804023,0.003991364291804023,0.0,1
20260910,16,8,1,128,0.0,isotropic_a,pool_03,0.0210728871477871,0.003991364291804023,4.279620101592517,4
20260910,16,8,1,128,0.0,bayesian_d,pool_07,0.270599499139513,0.003991364291804023,66.79624192539113,8
20260910,16,8,1,128,0.0,effective_rank,pool_00,0.003991364291804023,0.003991364291804023,0.0,1
20260910,16,8,1,128,0.0,conditional_oracle,pool_00,0.003991364291804023,0.003991364291804023,0.0,1
20260910,16,8,1,128,0.5,target_a_estimated,pool_00,0.03209461359353971,0.0214594547307545,0.4955931544497023,3
20260910,16,8,1,128,0.5,isotropic_a,pool_03,0.0214594547307545,0.0214594547307545,0.0,1
20260910,16,8,1,128,0.5,bayesian_d,pool_07,0.3113437342457287,0.0214594547307545,13.508464364638684,8
20260910,16,8,1,128,0.5,effective_rank,pool_00,0.03209461359353971,0.0214594547307545,0.4955931544497023,3
20260910,16,8,1,128,0.5,conditional_oracle,pool_03,0.0214594547307545,0.0214594547307545,0.0,1
20260910,16,8,1,128,1.0,target_a_estimated,pool_00,0.1157217211140501,0.031228575214512833,2.7056356340032712,4
20260910,16,8,1,128,1.0,isotropic_a,pool_03,0.0854758137032886,0.031228575214512833,1.7371025772435975,2
20260910,16,8,1,128,1.0,bayesian_d,pool_07,0.3828340025998922,0.031228575214512833,11.25909283309147,8
20260910,16,8,1,128,1.0,effective_rank,pool_00,0.1157217211140501,0.031228575214512833,2.7056356340032712,4
20260910,16,8,1,128,1.0,conditional_oracle,pool_05,0.031228575214512833,0.031228575214512833,0.0,1
